,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0.09,0.086,0.069,0.075,0.075,0.079,0.075,0.086,0.092,0.089,0.087,0.089
1,0.088,0.084,0.069,0.074,0.071,0.074,0.072,0.088,0.089,0.087,0.086,0.085
2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6,0.092,0.08,0.072,0.07,0.065,0.076,0.071,0.078,0.084,0.038,0.083,0.09
7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
8,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
13,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
16,0.05,0.05,0.05,0.05,0.014,0.124,0.137,0.157,0.073,0.062,0.09,0.091
17,0.05,0.05,0.05,0.05,0.033,0.229,0.32,0.825,0.125,0.092,0.095,0.095
18,0.05,0.05,0.05,0.05,0.08,0.267,0.358,0.933,0.368,0.103,0.088,0.091
19,0.05,0.05,0.05,0.05,0.082,0.262,0.446,1.034,0.497,0.101,0.085,0.089
20,0.05,0.05,0.05,0.05,0.073,0.176,0.276,0.989,0.292,0.091,0.085,0.088
21,0.05,0.05,0.05,0.05,0.07,0.082,0.088,0.72,0.143,0.088,0.088,0.09
22,0.05,0.05,0.05,0.05,0.069,0.076,0.08,0.7,0.136,0.091,0.088,0.09
23,0.05,0.05,0.05,0.05,0.072,0.074,0.074,0.088,0.093,0.09,0.086,0.091
